ID,N,Ha
1,2,2.172
2,2,3.413
3,46,5.574
4,18,2.252
5,3,12.65
6,15,5.054
7,2,3.653
8,3,7.566
9,27,2.172
11,3,5.725
12,435,127.061
15,1,3.203
16,2,8.327
20,2,7.706
26,1,5.474
33,1,5.845
37,3,11.469
39,10,11.179
41,8,20.516
42,1,2.892
45,22,26.701
46,93,20.546
47,27,3.593
48,10,2.802
50,1,5.474
51,1,5.044
53,2,11.589
54,5,7.086
55,9,37.89
56,102,53.132
61,4,10.598
62,1,4.253
63,2,12.99
66,1,2.322
67,44,2.212
68,1,4.954
69,1,7.666
70,24,15.132
71,59,2.012
74,1,7.176
75,2,11.499
77,65,55.765
82,70,14.652
83,120,9.197
86,5,7.946
87,1,6.195
88,77,7.816
89,501,103.002
90,40,26.011
91,1,3.793
92,1,7.876
94,510,121.187
97,1,2.332
98,1,3.723
99,25,4.233
100,1,2.272
101,19,17.964
102,3,3.633
105,69,3.453
110,2,2.882
115,17,13.611
117,91,10.729
118,18,8.287
120,1,5.845
122,9,24.89
127,15,7.596
128,2,3.843
131,1,8.367
134,1,4.173
135,38,35.598
139,2,11.149
141,6,2.292
145,1,100.09
146,305,189.401
151,111,7.406
152,58,64.622
154,1,2.942
155,3,5.735
157,7,7.386
159,189,30.464
162,5,5.735
163,2,23.058
166,73,18.195
168,3,6.906
169,5,2.252
170,9,4.984
171,4,3.533
172,17,28.573
174,4,2.152
175,103,9.838
178,17,11.749
180,1,2.282
182,14,47.718
183,21,28.052
185,2,7.386
187,49,15.002
190,10,42.384
191,2,6.435
194,93,47.298
196,1,2.512
198,6,7.246
199,1,5.084
201,3,2.172
203,44,8.016
204,153,4.964
205,2,2.532
206,31,4.384
207,69,6.986
208,30,5.635
209,15,2.882
210,71,15.522
211,4,2.312
212,92,12.71
213,39,45.777
214,20,25.42
215,1,6.195
217,1,11.829
221,2,2.802
222,2,7.756
229,1,4.303
231,1,2.862
232,38,35.228
238,4,32.796
239,57,74.49
240,580,247.838
241,4,11.95
243,37,29.864
246,1,2.012
247,1,3.533
248,50,54.764
252,1,22.878
253,3,2.312
254,1,2.432
255,63,7.736
256,42,25.58
257,4,2.592
260,1,17.074
261,1,3.333
264,3,3.723
265,5,2.652
266,124,48.509
268,1,25.941
274,1,8.697
279,4,11.499
281,1,4.283
282,1,4.083
285,1,32.676
289,83,22.018
292,3,12.74
299,32,26.401
302,1,2.842
305,1,4.143
306,2,16.783
308,1,3.603
309,1,4.484
311,1,13.611
314,58,12.28
315,13,19.005
317,1,2.812
321,2,16.273
322,4,3.833
327,6,5.004
331,2,12.44
343,1,4.774
