ID,N,Ha
718,26,3.943
719,25,5.655
720,102,77.822
721,33,2.952
722,50,2.482
726,55,2.302
735,99,2.802
736,44,2.732
737,21,5.034
738,20,2.492
739,106,2.032
740,11,17.724
744,37,11.419
746,1,19.866
747,64,2.502
751,1,2.592
754,7,4.814
757,54,5.154
758,16,4.824
760,17,3.183
762,82,2.082
763,38,4.103
764,47,24.84
769,42,14.111
773,10,3.563
774,44,4.033
775,13,6.455
780,46,5.254
784,91,3.943
785,210,54.173
786,7,27.422
788,11,10.699
789,30,3.893
790,11,12.6
791,144,11.669
792,117,18.965
793,102,13
794,146,12.75
795,1,10.568
796,55,2.272
802,139,18.054
803,53,3.513
805,42,3.193
806,49,18.395
807,79,26.101
808,44,2.392
809,45,2.182
811,44,45.356
812,22,6.475
814,103,15.873
818,2,4.584
820,104,63.881
825,1,14.181
826,34,14.772
827,17,12.66
830,90,2.012
832,46,16.323
833,46,12.5
838,20,8.167
841,53,20.386
849,20,3.683
850,24,10.709
851,23,16.323
852,38,3.473
853,1,2.272
854,6,6.815
855,61,31.035
856,1,3.763
859,13,3.132
862,16,6.525
863,16,19.636
864,21,2.522
865,278,58.887
866,76,5.414
867,53,9.187
868,43,3.002
869,24,10.719
871,57,2.802
875,26,9.568
876,65,5.444
884,109,99.789
887,15,19.496
888,87,20.416
889,94,22.008
890,2,3.983
891,74,3.082
896,53,3.333
897,57,7.256
898,80,20.066
902,259,91.653
904,77,5.895
906,49,16.303
908,109,8.207
909,47,2.582
910,36,3.233
912,45,10.188
913,80,14.391
914,51,4.904
915,66,4.564
917,25,3.102
918,85,12.22
919,194,43.585
921,27,2.052
923,102,24.339
924,61,9.868
925,15,2.462
926,99,23.319
929,11,20.006
932,95,4.874
936,5,35.178
940,87,20.116
944,156,46.127
947,163,63.371
948,59,33.247
949,58,8.557
951,13,3.313
952,1,21.517
953,54,3.072
954,66,4.874
955,70,4.073
956,32,3.843
962,172,50.12
969,174,115.412
971,39,2.752
972,25,6.455
974,33,4.504
975,3,3.683
980,51,2.092
981,17,2.432
983,87,16.253
986,22,2.902
989,179,86.399
994,117,43.205
999,28,3.623
1003,91,31.485
1004,5,46.887
1005,69,4.384
1006,254,150.74
1009,81,21.517
1010,7,3.493
1012,9,12
1015,4,11.069
1016,73,5.174
1017,58,2.702
1018,50,6.845
1019,2,5.374
1020,139,58.807
1022,1,7.106
1023,2,3.062
1030,36,3.253
1031,21,34.427
1032,28,16.803
1033,28,6.405
1034,53,10.889
1038,112,32.656
1044,146,28.373
1046,65,4.584
1049,15,2.982
1050,95,7.816
1056,1,3.703
1057,11,5.564
1062,6,14.321
1063,18,2.302
1064,36,11.609
1065,24,2.172
1066,96,20.666
1067,23,2.402
1068,1,6.695
1071,1,6.245
1072,36,2.002
1073,49,6.615
1074,49,3.443
1075,36,2.122
1076,30,2.732
1077,235,46.847
1080,23,4.904
1083,96,10.418
1087,45,6.575
1088,46,4.193
1090,3,5.194
1092,4,6.575
1093,61,3.783
1094,1,4.243
1095,17,36.889
1098,19,2.912
1103,61,3.763
1104,65,4.043
1105,97,13.761
1109,2,18.505
1110,56,9.237
1111,12,7.116
1113,160,69.686
1115,70,6.185
1119,38,22.788
1122,88,3.933
1125,28,10.068
1127,6,39.812
1133,43,39.602
1140,80,10.028
1141,29,3.042
1142,97,70.726
1144,32,4.824
1146,117,37.57
1147,14,3.483
1148,57,16.393
1153,7,6.055
1154,14,52.152
1158,61,5.284
1159,10,4.083
1160,25,97.177
1162,1,7.016
1164,19,7.866
1166,102,22.678
1170,21,3.633
1171,4,2.212
1173,4,10.879
1177,24,2.592
1181,202,107.345
1182,39,7.636
1183,1,17.324
1184,34,6.765
1191,19,9.988
1193,30,3.082
1206,8,5.725
1207,2,2.632
1208,3,20.336
1213,19,29.053
1214,2,2.162
1217,41,3.333
1218,99,38.671
1219,9,4.454
1222,13,9.277
1225,35,4.003
1226,32,2.602
1227,18,3.683
1228,13,4.133
1229,7,2.322
1230,18,3.553
1235,64,7.156
1237,10,2.832
1238,23,14.191
1239,72,10.799
1240,3,4.063
1242,1,7.186
1244,26,3.683
1246,57,3.663
1248,5,7.956
1249,1,7.986
1250,18,34.177
1252,1,2.652
1255,2,11.459
1256,13,33.907
1259,13,5.244
1260,98,17.364
1263,22,57.045
1265,1,13.481
1269,3,2.282
1277,14,5.094
1280,13,4.153
1283,9,5.945
1285,133,46.477
1286,103,25.03
1287,18,3.022
1288,70,4.844
1291,121,31.955
1292,8,10.719
1296,5,5.174
1298,11,3.443
1300,12,7.936
1311,19,2.672
1315,78,35.398
1320,129,14.912
1322,2,3.733
