ID,N,Ha
1,2,2.172
2,2,3.413
3,50,5.574
4,21,2.252
5,4,12.65
6,29,5.054
7,2,3.653
8,3,7.566
9,33,2.172
10,58,2.552
11,54,5.725
12,760,127.061
15,19,3.203
16,2,8.327
18,2,9.628
19,3,5.134
20,3,7.706
21,89,3.803
26,1,5.474
27,62,3.683
28,36,9.698
29,39,2.762
33,1,5.845
37,7,11.469
39,25,11.179
41,8,20.516
42,47,2.892
45,35,26.701
46,95,20.546
47,27,3.593
48,11,2.802
49,2,2.052
50,1,5.474
51,1,5.044
53,2,11.589
54,5,7.086
55,9,37.89
56,264,53.132
57,3,3.283
58,42,4.263
61,13,10.598
62,2,4.253
63,2,12.99
65,11,2.232
66,1,2.322
67,44,2.212
68,1,4.954
69,1,7.666
70,111,15.132
71,59,2.012
74,1,7.176
75,2,11.499
77,231,55.765
81,3,2.332
82,70,14.652
83,161,9.197
86,5,7.946
87,1,6.195
88,77,7.816
89,773,103.002
90,40,26.011
91,1,3.793
92,2,7.876
94,747,121.187
97,16,2.332
98,21,3.723
99,58,4.233
100,1,2.272
101,101,17.964
102,4,3.633
105,69,3.453
109,9,3.663
110,13,2.882
115,24,13.611
116,31,2.382
117,96,10.729
118,44,8.287
119,1,4.373
120,1,5.845
122,74,24.89
123,29,2.202
124,30,4.464
127,23,7.596
128,2,3.843
131,1,8.367
134,1,4.173
135,38,35.598
137,1,2.782
139,2,11.149
141,6,2.292
143,3,2.792
144,2,2.412
145,81,100.09
146,534,189.401
147,29,12.28
151,158,7.406
152,220,64.622
154,1,2.942
155,19,5.735
157,16,7.386
158,1,2.572
159,189,30.464
161,7,4.904
162,5,5.735
163,23,23.058
165,27,5.885
166,79,18.195
168,5,6.906
169,5,2.252
170,10,4.984
171,5,3.533
172,35,28.573
174,4,2.152
175,139,9.838
178,20,11.749
180,1,2.282
182,82,47.718
183,24,28.052
185,35,7.386
187,49,15.002
190,26,42.384
191,2,6.435
194,108,47.298
196,1,2.512
197,21,2.262
198,26,7.246
199,1,5.084
201,9,2.172
203,64,8.016
204,172,4.964
205,3,2.532
206,35,4.384
207,84,6.986
208,38,5.635
209,17,2.882
210,84,15.522
211,4,2.312
212,147,12.71
213,112,45.777
214,20,25.42
215,49,6.195
217,22,11.829
219,29,8.907
220,19,13.901
221,3,2.802
222,32,7.756
223,22,2.152
225,8,5.524
229,1,4.303
231,1,2.862
232,107,35.228
235,9,2.322
236,5,2.372
238,100,32.796
239,139,74.49
240,897,247.838
241,5,11.95
243,96,29.864
246,22,2.012
247,3,3.533
248,207,54.764
249,1,5.514
252,88,22.878
253,3,2.312
